Quantidade | Indice
38         | 50757
38         | 51165
38         | 52379
38         | 53626
38         | 53856
38         | 53890
38         | 54867
38         | 59741
38         | 60087
38         | 60347
37         | 2556
37         | 16329
37         | 19392
37         | 26251
37         | 27182
37         | 28607
37         | 31855
37         | 34317
37         | 35877
37         | 37640
37         | 39033
37         | 39491
37         | 40431
37         | 44360
37         | 45075
37         | 46987
37         | 47526
37         | 47862
37         | 48214
37         | 50823
37         | 52209
37         | 53632
37         | 54108
37         | 54311
37         | 55182
37         | 57602
37         | 58647
37         | 59213
37         | 59333
37         | 59546
37         | 60460
37         | 60962
37         | 61584
36         | 6752
36         | 7233
36         | 12807
36         | 13682
36         | 15025
36         | 15101
36         | 15117
36         | 21232
36         | 21295
36         | 25311
36         | 25490
36         | 29772
36         | 30657
36         | 32948
36         | 33548
36         | 34536
36         | 35446
36         | 37406
36         | 38581
36         | 40488
36         | 40611
36         | 41404
36         | 43017
36         | 43134
36         | 43481
36         | 43889
36         | 44005
36         | 45414
36         | 46170
36         | 48534
36         | 48674
36         | 49338
36         | 50098
36         | 50806
36         | 51043
36         | 51673
36         | 51723
36         | 52573
36         | 53128
36         | 59278
36         | 59921
36         | 60179
36         | 60443
36         | 61369
35         | 1795
35         | 3964
35         | 5753
35         | 9595
35         | 11460
35         | 11859
35         | 12709
35         | 15948
35         | 17328
35         | 17825
35         | 18172
35         | 18366
35         | 22148
35         | 25551
35         | 28665
35         | 35166
35         | 35621
35         | 36770
35         | 42769
35         | 44639
35         | 50381
35         | 50400
35         | 50574
35         | 52275
35         | 52448
35         | 52675
35         | 53113
35         | 55131
35         | 56908
35         | 58550
35         | 59113
35         | 59221
35         | 59891
35         | 60591
34         | 1466
34         | 2707
34         | 4909
34         | 6705
34         | 10282
34         | 11369
34         | 12193
34         | 12466
34         | 13446
34         | 13464
34         | 14581
34         | 19959
34         | 22112
34         | 24478
34         | 26423
34         | 30569
34         | 32587
34         | 34109
34         | 34448
34         | 37969
34         | 38893
34         | 39432
34         | 39625
34         | 39967
34         | 42594
34         | 44833
34         | 44839
34         | 45678
34         | 47147
34         | 48159
34         | 48535
34         | 48977
34         | 50024
34         | 51686
34         | 52520
34         | 52772
34         | 53175
34         | 55541
34         | 55625
34         | 58839
34         | 61103
33         | 2127
33         | 2852
33         | 7997
33         | 11669
33         | 13241
33         | 20253
33         | 21184
33         | 23863
33         | 25226
33         | 27693
33         | 32025
33         | 32076
33         | 32325
33         | 32938
33         | 33937
33         | 35470
33         | 39127
33         | 41901
33         | 43677
33         | 43783
33         | 44315
33         | 45536
33         | 47708
33         | 47777
33         | 48092
33         | 49053
33         | 49081
33         | 51271
33         | 51762
33         | 53502
33         | 57041
33         | 59148
33         | 59868
33         | 61159
33         | 61518
32         | 3148
32         | 7493
32         | 11177
32         | 12587
32         | 14123
32         | 14504
32         | 17694
32         | 18211
32         | 19285
32         | 19678
32         | 19714
32         | 23341
32         | 23958
32         | 26055
32         | 27226
32         | 33404
32         | 33493
32         | 34880
32         | 35195
32         | 37253
32         | 40608
32         | 40868
32         | 42812
32         | 44570
32         | 45867
32         | 46117
32         | 46262
32         | 47691
32         | 48195
32         | 48392
32         | 48454
32         | 49632
32         | 49699
32         | 51257
32         | 51792
32         | 51940
32         | 52962
32         | 53465
32         | 55686
32         | 56262
32         | 56334
32         | 56861
32         | 57144
32         | 58772
32         | 58909
32         | 59720
32         | 59999
32         | 60071
32         | 60085
32         | 60796
32         | 61041
32         | 61311
31         | 5808
31         | 6178
31         | 6671
31         | 12436
31         | 13822
31         | 16063
31         | 16690
31         | 19728
31         | 20489
31         | 21429
31         | 23498
31         | 25840
31         | 26023
31         | 26075
31         | 27291
31         | 29368
31         | 30431
31         | 31223
31         | 31236
31         | 31768
31         | 32061
31         | 34855
